country,year,female_lfp,fertility,gdppc
Afghanistan,1990,15.5,7.466,NA
Albania,1990,53.2000007629395,2.978,1879.65476406386
Algeria,1990,9.89999961853027,4.726,3551.12851560399
Angola,1990,65.8000030517578,7.208,2877.32329830669
Argentina,1990,41,2.989,5955.65064435761
Armenia,1990,60,2.538,1793.62613417503
Australia,1990,52.2999992370605,1.902,35812.9303194007
Austria,1990,43,1.46,33788.8622500427
Azerbaijan,1990,54,2.74,3118.54658676172
"Bahamas, The",1990,64.8000030517578,2.639,23247.9318953825
Bahrain,1990,27.8999996185303,3.738,17934.2729333767
Bangladesh,1990,61.7000007629395,4.494,400.258557925582
Barbados,1990,61.4000015258789,1.74,13784.0734429438
Belarus,1990,60.4000015258789,1.91,2995.41361090308
Belgium,1990,36.5999984741211,1.62,33164.3428066431
Belize,1990,36,4.508,2849.22366350371
Benin,1990,57.2000007629395,6.744,606.570759901423
Bhutan,1990,49.4000015258789,5.639,791.833296226203
Bolivia,1990,50.4000015258789,4.894,1358.23160568005
Bosnia and Herzegovina,1990,35.7999992370605,1.767,NA
Botswana,1990,66.8000030517578,4.698,3854.68778667433
Brazil,1990,44.5999984741211,2.809,7909.81136962613
Brunei Darussalam,1990,45.2000007629395,3.532,37338.0803400928
Bulgaria,1990,54.9000015258789,1.82,4162.8159827076
Burkina Faso,1990,76.5,7.007,341.681922549886
Burundi,1990,90.8000030517578,7.542,317.563015861577
Cabo Verde,1990,41.7999992370605,5.307,943.531747672857
Cambodia,1990,76.8000030517578,5.601,NA
Cameroon,1990,55.2000007629395,6.434,1233.38797351943
Canada,1990,57.9000015258789,1.83,36487.9481408783
Central African Republic,1990,69.3000030517578,5.78,469.001450076417
Chad,1990,64.1999969482422,7.313,517.033695706732
Chile,1990,32.2000007629395,2.501,6105.50027487622
China,1990,72.6999969482422,2.428,730.77247319583
Colombia,1990,31.6000003814697,2.994,4319.93070250905
Comoros,1990,27.2000007629395,6.412,863.798761476771
"Congo, Dem. Rep.",1990,67.5,7.058,661.673414390594
"Congo, Rep.",1990,59.5999984741211,5.349,2774.48036323696
Costa Rica,1990,32.9000015258789,3.172,4911.5559277384
Cote d'Ivoire,1990,43.4000015258789,6.622,1460.15562382049
Croatia,1990,46.5,1.63,NA
Cuba,1990,35,1.75,4226.06929563247
Cyprus,1990,40.7999992370605,2.411,21156.9513448625
Czech Republic,1990,51.5999984741211,1.9,13948.1776739438
Denmark,1990,61.5,1.67,44586.9830451519
Djibouti,1990,27.2999992370605,6.087,1566.41712442111
Dominican Republic,1990,44.0999984741211,3.465,2581.1346030593
Ecuador,1990,39.2999992370605,3.767,3720.93881768344
"Egypt, Arab Rep.",1990,25.7999992370605,4.663,1588.41939183709
El Salvador,1990,40.5999984741211,3.922,2157.1565896162
Equatorial Guinea,1990,80.1999969482422,5.9,574.495331726479
Eritrea,1990,75.6999969482422,6.387,NA
Estonia,1990,63,2.05,NA
Ethiopia,1990,72,7.246,207.346647605207
Fiji,1990,29.1000003814697,3.398,2926.35960267849
Finland,1990,58.7999992370605,1.78,33516.918478267
France,1990,46.0999984741211,1.77,32597.945923111
Gabon,1990,56.5999984741211,5.421,11116.4123019926
"Gambia, The",1990,69.5999984741211,6.107,515.673974049416
Georgia,1990,55.0999984741211,2.18,3529.26236431662
Germany,1990,43.4000015258789,1.45,32339.0263431978
Ghana,1990,69.5999984741211,5.616,823.58167272907
Greece,1990,36,1.4,19385.0887495591
Guatemala,1990,40.5,5.315,2171.2562059425
Guinea,1990,64.4000015258789,6.598,413.327967775603
Guinea-Bissau,1990,60,6.627,587.568570463003
Guyana,1990,36.2000007629395,3.601,1518.4123270895
Haiti,1990,56.7999992370605,5.43,NA
Honduras,1990,33.2000007629395,5.139,1549.27447784456
"Hong Kong SAR, China",1990,47.2000007629395,1.272,18251.0340200185
Hungary,1990,46.2000007629395,1.87,NA
Iceland,1990,67.6999969482422,2.3,30715.8450556877
India,1990,34.7999992370605,4.044,541.743505053984
Indonesia,1990,50.2000007629395,3.122,1652.93447442512
"Iran, Islamic Rep.",1990,9.69999980926514,4.818,3658.83166387998
Iraq,1990,10.8000001907349,5.882,4077.1389134466
Ireland,1990,35.5,2.11,23511.963438523
Israel,1990,41.2999992370605,2.824,20469.2574089457
Italy,1990,35.0999984741211,1.33,30841.114995745
Jamaica,1990,66.4000015258789,2.947,4327.89557639147
Japan,1990,50.0999984741211,1.54,37906.1529066061
